experiment,market_log_gap_threshold,base_transfer_fraction,rating_agreement_bonus,host_extra_transfer_fraction,force_weak_host_flip,use_effective_market,log_loss_2022_plus,accuracy_2022_plus,draw_predictions_2022_plus,log_loss_2022_world_cup,accuracy_2022_world_cup,draw_predictions_2022_world_cup,actual_draws_2022_world_cup
guardrail_grid,0.75,0.35,0.05,0.3,False,True,0.8633024426006821,0.6076121431807884,43,1.0067107797060775,0.546875,2,15
guardrail_grid,0.75,0.35,0.05,0.3,True,True,0.8633024426006821,0.6076121431807884,43,1.0067107797060775,0.546875,2,15
guardrail_grid,0.75,0.45,0.05,0.0,False,True,0.8633410117203438,0.6076121431807884,43,1.0093708436777478,0.546875,2,15
guardrail_grid,0.75,0.45,0.05,0.0,True,True,0.8633410117203438,0.6076121431807884,43,1.0093708436777478,0.546875,2,15
guardrail_grid,0.75,0.45,0.05,0.15,False,True,0.8633114869238933,0.6076121431807884,43,1.0073345553725437,0.546875,2,15
guardrail_grid,0.75,0.45,0.05,0.15,True,True,0.8633114869238933,0.6076121431807884,43,1.0073345553725437,0.546875,2,15
guardrail_grid,0.75,0.45,0.05,0.3,False,True,0.8632853700109017,0.6076121431807884,43,1.0055333045296557,0.546875,2,15
guardrail_grid,0.75,0.45,0.05,0.3,True,True,0.8632853700109017,0.6076121431807884,43,1.0055333045296557,0.546875,2,15
guardrail_grid,1.0,0.15,0.05,0.0,False,True,0.8634149293189117,0.6073855913004078,43,1.014468848053975,0.53125,2,15
guardrail_grid,1.0,0.15,0.05,0.0,True,True,0.8633784368366219,0.6076121431807884,43,1.011952007166049,0.546875,2,15
guardrail_grid,1.0,0.15,0.05,0.15,False,True,0.8633749691392786,0.6076121431807884,43,1.0117128444149013,0.546875,2,15
guardrail_grid,1.0,0.15,0.05,0.15,True,True,0.8633749691392786,0.6076121431807884,43,1.0117128444149013,0.546875,2,15
guardrail_grid,1.0,0.15,0.05,0.3,False,True,0.8633410117203438,0.6076121431807884,43,1.0093708436777478,0.546875,2,15
guardrail_grid,1.0,0.15,0.05,0.3,True,True,0.8633410117203438,0.6076121431807884,43,1.0093708436777478,0.546875,2,15
guardrail_grid,1.0,0.25,0.05,0.0,False,True,0.8633875220345593,0.6073855913004078,43,1.0125786019112955,0.53125,2,15
guardrail_grid,1.0,0.25,0.05,0.0,True,True,0.8633806356751709,0.6076121431807884,43,1.0121036583122205,0.546875,2,15
guardrail_grid,1.0,0.25,0.05,0.15,False,True,0.8633517750790746,0.6076121431807884,43,1.0101131790752027,0.546875,2,15
guardrail_grid,1.0,0.25,0.05,0.15,True,True,0.8633517750790746,0.6076121431807884,43,1.0101131790752027,0.546875,2,15
guardrail_grid,1.0,0.25,0.05,0.3,False,True,0.8633209073791819,0.6076121431807884,43,1.0079842723982297,0.546875,2,15
guardrail_grid,1.0,0.25,0.05,0.3,True,True,0.8633209073791819,0.6076121431807884,43,1.0079842723982297,0.546875,2,15
guardrail_grid,1.0,0.35,0.05,0.0,False,True,0.8633630754168417,0.6076121431807884,43,1.0108925492455823,0.546875,2,15
guardrail_grid,1.0,0.35,0.05,0.0,True,True,0.8633630754168417,0.6076121431807884,43,1.0108925492455823,0.546875,2,15
